ID,NOME,SOBRENOME,DATA_DE_NASCIMENTO,CPF
1,Nicolle ,Laranjeira,1009-10-10,12345678
1,Nicolle ,Laranjeira,1009-10-10,12345678
2,Giovanna  ,Cochito,1009-10-10,12345678
2,Giovanna  ,Cochito,1009-10-10,12345678
3,Matheus  ,Kurachi,1009-10-10,12345678
3,Matheus  ,Kurachi,1009-10-10,12345678
4,Cliente não existe mais!,Cliente não existe mais!,Cliente não existe mais!,Cliente não existe mais!
4,Cliente não existe mais!,Cliente não existe mais!,Cliente não existe mais!,Cliente não existe mais!
5,Alguém,Ninguém,2000-02-04,123456
5,Alguém,Ninguém,2000-02-04,123456
6,Nicolas ,Bertacin,1009-10-10,12345678
6,Nicolas ,Bertacin,1009-10-10,12345678
7,Cliente não existe mais!,Cliente não existe mais!,Cliente não existe mais!,Cliente não existe mais!
8,Cliente não existe mais!,Cliente não existe mais!,Cliente não existe mais!,Cliente não existe mais!
